Sicheng,20:12:07,2,1,0.0,
Alec,20:12:26,1,19,0.012400000000000001,
Julian,20:12:35,2,31,0.0282,
Joyce,20:35:14,0,64,0.11259999999999999,
Raven,20:35:26,0,63,0.10360000000000003,
Kevin L,20:35:40,1,15,0.002,
linda,20:35:54,1,23,0.014400000000000001,
melvin,20:35:58,1,27,0.0252,
Kathleen,20:37:05,1,17,0.0046,
Jewon,20:37:19,1,13,0.0018000000000000002,
Janarth,20:46:08,1,3,0.0004,
Theja,20:46:32,1,26,0.007600000000000001,
Anise,20:47:04,2,5,0.0006000000000000001,
jp,20:55:05,0,44,0.057999999999999996,
sam,20:55:29,1,29,0.027,
emily,20:56:05,0,43,0.05020000000000001,
markowo,20:56:39,1,12,0.004200000000000001,
Annie,21:09:24,0,29,0.040600000000000004,
jake,21:09:33,0,29,0.029200000000000004,
jeff,21:17:35,0,21,0.007000000000000001,
kristine,21:17:58,1,0,0.0,
kpoo,21:25:22,0,12,0.007000000000000001,
