Sicheng,20:12:07,3,1,0.0,C:/Users/Admin/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/smoochum.gif
Alec,20:12:26,3,1,0.0,C:/Users/Admin/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/mareep.gif
Julian,20:12:35,3,1,0.0,C:/Users/Admin/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/totodile.gif
Joyce,20:35:14,2,11,0.006200000000000001,
Raven,20:35:26,1,37,0.0284,
Kevin L,20:35:40,2,25,0.021800000000000003,
linda,20:35:54,3,1,0.0,C:/Users/Admin/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/igglybuff.gif
melvin,20:35:58,3,1,0.0,C:/Users/Admin/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/squirtle.gif
Kathleen,20:37:05,2,19,0.005,
Jewon,20:37:19,3,1,0.0,C:/Users/Admin/OneDrive/Documents/git_repos/pokemoneggdisplay/egggifs/hatchedgifs/squirtle.gif
Janarth,20:46:08,2,11,0.0028000000000000004,
Theja,20:46:32,2,30,0.0172,
Anise,20:47:04,2,61,0.084,
jp,20:55:05,1,39,0.025,
sam,20:55:29,2,55,0.0364,
emily,20:56:05,1,30,0.021,
markowo,20:56:39,2,5,0.0002,
Annie,21:09:24,2,32,0.0048000000000000004,
jake,21:09:33,1,38,0.0266,
jeff,21:17:35,1,13,0.0052,
kristine,21:17:58,2,12,0.0018000000000000002,
kpoo,21:25:22,1,19,0.0036,
blake,22:26:06,0,9,0.0012000000000000001,
eric,22:26:18,0,9,0.0,
lizartin,22:26:45,0,8,0.0014,
jon ip was here,22:27:27,0,7,0.0022,
jan,22:29:11,0,6,0.0,
