Sicheng,20:12:07,0,43,0.049600000000000005,
Alec,20:12:26,0,42,0.04640000000000001,
Julian,20:12:35,1,16,0.0048000000000000004,
Joyce,20:35:14,0,20,0.0118,
Raven,20:35:26,0,19,0.013400000000000002,
Kevin L,20:35:40,0,19,0.008,
linda,20:35:54,0,19,0.011600000000000001,
melvin,20:35:58,0,19,0.0054,
Julia,20:36:26,0,18,0.0068000000000000005,
Ben,20:36:38,0,18,0.0108,
Kathleen,20:37:05,0,18,0.011000000000000001,
Jewon,20:37:19,0,17,0.0002,
Janarth,20:46:08,0,9,0.003,
Theja,20:46:32,0,8,0.0028000000000000004,
Anise,20:47:04,0,8,0.0008,
jp,20:55:05,0,0,0.0,
