Sicheng,20:12:07,1,40,0.027200000000000002,
Alec,20:12:26,1,17,0.012400000000000001,
Julian,20:12:35,2,29,0.0282,
Joyce,20:35:14,0,62,0.11259999999999999,
Raven,20:35:26,0,61,0.09120000000000002,
Kevin L,20:35:40,1,13,0.002,
linda,20:35:54,1,21,0.014400000000000001,
melvin,20:35:58,1,25,0.0252,
Julia,20:36:26,1,3,0.0004,
Ben,20:36:38,2,8,0.001,
Kathleen,20:37:05,1,15,0.0046,
Jewon,20:37:19,1,11,0.0018000000000000002,
Janarth,20:46:08,1,0,0.0,
Theja,20:46:32,1,23,0.007600000000000001,
Anise,20:47:04,2,2,0.0,
jp,20:55:05,0,41,0.0494,
sam,20:55:29,1,26,0.0162,
emily,20:56:05,0,40,0.041800000000000004,
markowo,20:56:39,1,9,0.0024000000000000002,
Annie,21:09:24,0,26,0.0298,
jake,21:09:33,0,26,0.023600000000000003,
jeff,21:17:35,0,18,0.0034000000000000002,
kristine,21:17:58,0,18,0.0134,
kpoo,21:25:22,0,10,0.0048000000000000004,
