Sicheng,20:12:07,1,18,0.009000000000000001,
Alec,20:12:26,0,62,0.06680000000000001,
Julian,20:12:35,2,7,0.0,
Joyce,20:35:14,0,40,0.0318,
Raven,20:35:26,0,39,0.029400000000000006,
Kevin L,20:35:40,0,39,0.0696,
linda,20:35:54,0,39,0.0406,
melvin,20:35:58,1,3,0.0,
Julia,20:36:26,0,38,0.022199999999999998,
Ben,20:36:38,1,18,0.0138,
Kathleen,20:37:05,0,38,0.04660000000000001,
Jewon,20:37:19,0,37,0.0364,
Janarth,20:46:08,0,29,0.026800000000000004,
Theja,20:46:32,1,2,0.0,
Anise,20:47:04,1,3,0.0,
jp,20:55:05,0,20,0.014400000000000001,
sam,20:55:29,1,5,0.0006000000000000001,
emily,20:56:05,0,19,0.008400000000000001,
markowo,20:56:39,0,18,0.004200000000000001,
Annie,21:09:24,0,5,0.0004,
jake,21:09:33,0,5,0.0006000000000000001,
