Sicheng,20:12:07,2,12,0.0004,
Alec,20:12:26,1,30,0.021800000000000003,
Julian,20:12:35,2,42,0.0436,
Joyce,20:35:14,1,10,0.0024000000000000002,
Raven,20:35:26,0,74,0.14560000000000003,
Kevin L,20:35:40,1,26,0.0138,
linda,20:35:54,2,7,0.0018000000000000002,
melvin,20:35:58,2,0,0.0,
Kathleen,20:37:05,1,27,0.0182,
Jewon,20:37:19,1,23,0.0086,
Janarth,20:46:08,1,13,0.003,
Theja,20:46:32,1,36,0.031400000000000004,
Anise,20:47:04,2,15,0.0026,
jp,20:55:05,0,54,0.07640000000000001,
sam,20:55:29,2,9,0.0006000000000000001,
emily,20:56:05,0,53,0.0874,
markowo,20:56:39,1,22,0.0182,
Annie,21:09:24,1,10,0.0,
jake,21:09:33,0,39,0.043000000000000003,
jeff,21:17:35,0,31,0.023399999999999997,
kristine,21:17:58,1,11,0.0008,
kpoo,21:25:22,0,23,0.0188,
